easting,northing,longitude,latitude,domain_no,domainname,domaintype
1224653.06737,5091345.58824,168.299957011,-44.2343542386,24,western Fiordland Margin - Caswell High,Contractional
1224625.43974,5091313.66735,168.299589366,-44.2346264401,24,western Fiordland Margin - Caswell High,Contractional
1224598.35507,5091281.28449,168.299228164,-44.2349030649,24,western Fiordland Margin - Caswell High,Contractional
1224571.82107,5091248.44889,168.298873506,-44.2351840342,24,western Fiordland Margin - Caswell High,Contractional
1224545.84532,5091215.16992,168.298525495,-44.2354692679,24,western Fiordland Margin - Caswell High,Contractional
1224520.43522,5091181.45708,168.298184229,-44.2357586847,24,western Fiordland Margin - Caswell High,Contractional
1223583.64896,5089916.49543,168.285584652,-44.2466258211,24,western Fiordland Margin - Caswell High,Contractional
1221478.7012,5088211.31878,168.258078555,-44.2608352724,24,western Fiordland Margin - Caswell High,Contractional
1221450.9692,5088188.52192,168.257715844,-44.261025405,24,western Fiordland Margin - Caswell High,Contractional
1221423.56741,5088165.3292,168.257356968,-44.2612192598,24,western Fiordland Margin - Caswell High,Contractional
1221396.50148,5088141.7454,168.257001999,-44.2614167966,24,western Fiordland Margin - Caswell High,Contractional
1221369.77699,5088117.77538,168.256651012,-44.2616179749,24,western Fiordland Margin - Caswell High,Contractional
1221343.39944,5088093.42409,168.256304079,-44.2618227532,24,western Fiordland Margin - Caswell High,Contractional
1218499.42726,5085429.84266,168.21885666,-44.2842362659,24,western Fiordland Margin - Caswell High,Contractional
1218470.83437,5085402.63655,168.218479714,-44.2844653685,24,western Fiordland Margin - Caswell High,Contractional
1218442.67453,5085374.98243,168.218107847,-44.284698716,24,western Fiordland Margin - Caswell High,Contractional
1218414.95477,5085346.88721,168.217741151,-44.2849362501,24,western Fiordland Margin - Caswell High,Contractional
1218387.682,5085318.35788,168.217379718,-44.2851779119,24,western Fiordland Margin - Caswell High,Contractional
1218360.86301,5085289.40156,168.217023639,-44.285423641,24,western Fiordland Margin - Caswell High,Contractional
1218334.50448,5085260.02547,168.216673001,-44.2856733764,24,western Fiordland Margin - Caswell High,Contractional
1218308.613,5085230.23692,168.216327892,-44.2859270558,24,western Fiordland Margin - Caswell High,Contractional
1218283.195,5085200.04334,168.215988398,-44.286184616,24,western Fiordland Margin - Caswell High,Contractional
1217478.19373,5084228.33059,168.205223584,-44.294479843,24,western Fiordland Margin - Caswell High,Contractional
1213225.39331,5080322.61567,168.149212797,-44.3272696778,24,western Fiordland Margin - Caswell High,Contractional
