Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
118A,-45.0386678,169.2233734,217,B,636,0.3755,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),28,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
118B,-45.03866779,169.2192734,196,C,520,0.2,Q3,McVerry (2011),0.3,0.3,Q3,I,McVerry (2011),48,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
120A,-40.33496887,175.8681817,91,D,290,0.2,Q3,McVerry (2011),1.8,0.11,Q2,I,Unpub HVSR (Van Houtte),83,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
122A,-41.80249356,172.3248308,164,D,500,0.2,Q3,McVerry (2011),1.6,0.3,Q3,I,Unpub HVSR (Van Houtte),213,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
123A,-41.08329987,175.1445516,119,C,506,0.2,Q3,NSHM 2021,0.13,0.3,Q3,I,McVerry (2011),10,0.3,Q3,1,Kaiser et al. (2017),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
129A,-41.79999351,172.3271308,166,D,500,0.2,Q3,McVerry (2011),1.9,0.1,Q1,Mw,Manea et al. 2021 unpublished,233,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
130B,-41.6695927,173.2029425,362,D,367,0.2,Q3,McVerry (2011),0.85,0.3,Q3,I,McVerry (2011),178,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
131A,-40.91407972,175.0043685,9,D,258,0.3605,Q3,Foster et al. (2019) & Perrin et al. (2015),1.4,0.2,Q2,Mw,Unpub HVSR (Van Houtte),78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
132A,-41.29748792,174.7809641,5,C,245,0.1,Q2,McVerry (2011),0.52,0.2,Q2,I,Kaiser et al. 2019,48,0.1,Q2,1,Hill et al. (2021),325,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
214A,-38.00492463,177.2841074,2,D,215,0.221,Q3,Foster et al. (2019) & Perrin et al. (2015),1,0.3,Q3,I,Cousins et al. (1996),75,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
225B,-39.03384495,177.4235057,20,E,155,0.1,Q2,Barker 1994,1.5,0.3,Q3,I,Cousins et al. (1996),98,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),8725,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
240A,-40.61887378,175.2882733,37,D,268,0.207,Q3,Foster et al. (2019) & Perrin et al. (2015),1.8,0.3,Q3,I,McVerry (2011),183,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
249A,-41.2349868,174.9170661,4,C,350,0.1,Q2,Cousins et al. (2006),0.35,0.2,Q2,Mu,Cousins et al. (1996),63,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
257A,-41.11017929,173.0118426,5,D,210,0.2,Q3,Cousins et al. (2006),2,0.3,Q3,I,Cousins et al. (1996),353,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),425,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
259A,-41.27108366,173.2832453,3,D,335,0.2,Q3,Tracey & Wotherspoon (2021),0.7,0.2,Q2,Mw,Unpub HVSR (Kaiser),50,0.3,Q3,1,Kaiser et al. (2017),1625,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
